place,dataset,year,score,rank,isopen,exists,digital,public,online,free,machinereadable,bulk,openlicense,uptodate,url,format,licenseurl,dateavailable,officialtitle,publisher,timestamp,submitters,reviewers,details
ru,elections,2013,45,33,False,Y,Y,Y,Y,Y,N,N,N,Y,http://www.izbirkom.ru/region/izbirkom,HTML,None,2003,None,None,18/09/2012 12:19:17,"[u'Ivan Begtin', u'Maxim Dubinin', u'Ivan Pavlov']","[u'Ivan Begtin', u'Rufus Pollock']","Brief description:
Actually Russian level of electoral data openness is quite high. Since we have unified federal information system for registration of elections results so all results collected and available via website http://www.izbirkom.ru/region/izbirkom It allows to select specific election and to view results with details up to election district.
At the same time a few issues exists:
1. No machine readable data
2. No bulk download
3. No open licenses
4. No geodata for election comissions and electoral districs locations Step by step explanation: 1. Does the data exist? Yes, data exists here - http://www.izbirkom.ru/region/izbirkom 2. Is data in digital form? Yes, data available via website ahttp://www.izbirkom.ru/region/izbirkom and has digital form. 3. Publicly available? Yes, this data is publicly available. We don't need FOI request to get it. 4. Is the data available for free? Yes, this data is available for free. No payment is required. 5. Is the data available online? Yes. Data available at http://www.izbirkom.ru/region/izbirkom 6. Is the data machine readable? No, data is not machine readable, only HTML. 7. Available in bulk? No, only HTML form of data available 8. Openly licensed? No, this data is public domain data but no open license available. 9. Is the data provided on a timely and up to date basis?
Yes, this information updated frequently, on daily basis."
kr,elections,2013,45,33,False,Y,Y,Y,Y,N,Y,N,N,Y,http://www.nec.go.kr/nec_new2009/BoardCotList.do?cmSeq=&bmSeq=4&subNum=2&pageNum1=1&pageNum2=8,None,None,None,None,None,2013-09-28T07:08:11.178Z,"[u'Young-Je Lim', u'Mor Rubinstein']","[u'Mor Rubinstein', u'\ud64d\uc601\ud0dd (yeongtaek, Hong)']","Name: Election Statistics System
Coverage: Presidential elections and parliamentary elections, and various local elections (elections of heads of local councils and wide area) of the election of statistical data. [Reviewer comment: couldn't check the data, but if it's online it's public, so corrected that]"
ca,timetables,2013,0,52,False,?,?,?,?,?,?,?,?,?,None,None,None,None,None,None,16/07/2013 18:25:48,"[u'Mor Rubinstein', u'Tracey P. Lauriault', u'Diane Mercier', u'Andrew Smith', u'Tracey Lauriault']","[u'James McKinney', u'Tracey Lauriault']",NOT APPLICABLE WOULD BE THE BEST RESPONSE HERE. There is no national public transit system in Canada. Public transportation data are only available at the jurisdiction where the service is delivered. Canada as a federation of provinces and territories delivers transit at the level of the city or municipality or other local authority which fall under the jurisdiction of provinces and territories. Cross provincial and territorial transportation would be federally administered but this is not a transit system.
eg,emissions,2013,10,49,False,?,?,?,?,?,N,N,N,Y,http://www.eeaa.gov.eg/arabic/main/env_air_aqi.asp,HTML,None,None,None,None,2013-10-06T11:52:11.208Z,"[u'Tarek Amr', u'Rayna St']","[u'Rayna Stamboliyska', u'Mor Rubinstein', u'Riyadh Al-Balushi', u'Rayna St']","This page provides information on the air quality for today and the next 2 days. Nothing more, no historical data and only to one index and that's atmospheric particulate matter (PM10)."
hu,elections,2013,45,33,False,Y,Y,Y,Y,Y,N,N,N,Y,http://valasztas.hu,None,None,None,None,None,2013-10-11T17:13:54.540Z,Anna Orosz,"[u'Sandor Lederer', u'Julia Keser\u0171']",None
tn,timetables,2013,35,34,False,Y,Y,Y,Y,Y,N,N,N,?,None,HTML,None,None,None,None,2013-10-02T23:24:20.539Z,"[u'Rayna Stamboliyska', u'Katelyn Rogers', u'Amin Khechine']","[u'Rayna Stamboliyska', u'Rayna St']","Train: data can be available via a search engine in HTML format http://www.sncft.com.tn/index.php
Bus: data can be available via a search engine in HTML format http://www.sntri.com.tn/html_fr/result_tarif_horaire_sntri.php"
sa,postcodes,2013,45,21,False,Y,Y,Y,Y,Y,?,?,?,Y,http://www.locator.com.sa/locator/,online,None,None,None,None,2013-10-15T14:41:17.618Z,None,None,"Saudi Post Corporation
http://www.sp.com.sa/english/Saudipost/pages/default.aspx"
gr,budget,2013,45,34,False,Y,Y,Y,Y,Y,N,Y,N,N,"http://www.minfin.gr/portal/el/resource/contentObject/contentTypes/genericContentResourceObject,fileResourceObject,arrayOfFileResourceTypeObject/topicNames/budget/resourceRepresentationTemplate/contentObjectListAlternativeTemplate#fragment-6",PDF,None,None,None,None,15/04/2013 12:35:55,"[u'Charalampos Bratsas', u'Thodoris Papadopoulos']","[u'Charalampos Bratsas', u'Andreas P']","The General Accounting Office is responsible for the dissemination and publicity of the Annual Budget. Unfortunately, the General Accounting office has chosen to publish the related data in formats, which essentially prevents further use of this information by the public. The annual budget is published as unstructured PDF documents, while the internal breakdown formations change almost every year. This makes comparisons of actual spending with the budget , particularly difficult. Some experimental projects have been made using data scraping techniques , however, for a reliable and efficient solution the General Accounting Office should re-evaluate the data publishing policies applied."
im,elections,2013,45,33,False,Y,Y,Y,N,Y,Y,N,N,N,https://www.gov.im/categories/home-and-neighbourhood/electoral-register/election-information/election-results/,PDF,None,None,None,None,2013-10-03T14:52:33.802Z,Graeme Jones,Graeme Jones,"""data page states Crown Copyright 2013 (the Isle of Man is a Crown Dependency)

also independent http://iomelections.com/ maintained by a politico at a local data hosting company"""
de,spending,2013,10,19,False,Y,Y,N,N,N,N,N,N,N,None,pdf,None,since 1998,None,None,2/6/2012 14:52:18,"[u'profemo', u'pudo', u'Daniel Dietrich', u'Joris/Michael', u'Mor Rubinstein']","[u'Mor Rubinstein', u'Daniel Dietrich', u'Sander van der Waal']","The granularity of the spending data is not satisfying. [Notice pudo: this is really not what I think we should cover with spending data; I would argue such data is completely unavailable on a federal level] [SvdW: Changed answers to reflect this].
http://www.bundesfinanzministerium.de/Web/DE/Themen/Oeffentliche_Finanzen/Bundeshaushalt/Haushalts_und_Vermoegensrechnungen_des_Bundes/haushalts_vermoegensrechnungen_des_bundes.html"
eg,spending,2013,30,17,False,?,Y,Y,Y,Y,N,N,N,N,http://www.mof.gov.eg/,PDF,None,None,None,None,2013-10-01T09:25:46.932Z,"[u'Tarek Amr', u'Rayna St', u'Tryggvi Bj\xf6rgvinsson']","[u'Rayna Stamboliyska', u'Rayna St', u'Riyadh Al-Balushi', u'Mor Rubinstein']","Spending data in Egypt is not really available: the Ministry of Finance publishes laws, quaterly briefs and suchlikes, but very few actual data. When the latter is available online, it is through PDFs. The Central Bank of Egypt also publishes data (see here for ex.: http://www.cbe.org.eg/English/Economic+Research/Time+Series/). Here, format is XLS."
fi,spending,2013,45,13,False,Y,Y,Y,Y,N,Y,N,N,Y,http://www.netra.fi/,"CSV, XSL",None,None,None,None,2013-09-30T20:19:39.451Z,"[u'Margit Suurhasko', u'Tryggvi Bj\xf6rgvinsson', u'Antti Poikola']","[u'Mor Rubinstein', u'Antti Poikola', u'Antti Jogi Poikola', u'Jaakko Korhonen']",See the discussion in Finnish http://avoindata.net/245/onko-valtion-budjettidata-saatavilla-avoimena-ja-milloin
kr,budget,2013,70,18,False,Y,Y,Y,Y,Y,Y,Y,N,Y,https://www.digitalbrain.go.kr/kor/view/statis/statis01_01_01.jsp?code=DB0101,XLS,None,1/10/2012,None,None,2013-09-28T06:42:30.114Z,Young-Je Lim,"홍영택 (yeongtaek, Hong)",Original source is from http://www.digitalbrain.go.kr/
hu,budget,2013,60,24,False,Y,Y,Y,Y,Y,Y,Y,N,?,http://www.kormany.hu/hu/nemzetgazdasagi-miniszterium/allamhaztartasert-felelos-allamtitkarsag/hirek/2012-evi-eves-elemi-koltsegvetesi-beszamolo,XLS,None,None,None,None,2013-10-22T14:54:54.760Z,Anna Orosz,"[u'Julia Keser\u0171', u'Sander van der Waal']","Budget is available without a license clearly specified, therefore non-open."
ke,emissions,2013,0,51,False,?,?,?,N,?,?,?,?,?,None,None,None,None,None,None,13/06/2013 15:33:04,"[u'Christian Villum', u'Emmy Chirchir']",Mor Rubinstein,There is no data available online but this does not rule out the possibility that the data may be available in paper or digitally but just not online on government websites and sources.
pl,legislation,2013,75,10,False,Y,Y,Y,Y,Y,N,N,Y,Y,http://www.dziennikustaw.gov.pl/Stronaglowna.aspx,None,None,None,None,None,2013-10-02T08:42:21.333Z,Gosia Klimowicz,Sander van der Waal,No copyright on laws; interpreted that as open license
de,elections,2013,100,1,True,Y,Y,Y,Y,Y,Y,Y,Y,Y,https://www.govdata.de/suchen/-/details/de-bundestagswahl-2013,csv,None,Data updated regularly,None,None,2/6/2012 12:31:03,"[u'Joris Pekel', u'Sander van der Waal', u'Daniel Dietrich', u'profemo']","[u'Daniel Dietrich', u'Sander van der Waal']",Original source and results for past years at http://www.bundeswahlleiter.de
it,companies,2013,30,39,False,Y,Y,Y,Y,N,N,Y,N,N,http://www.registroimprese.it/,None,None,None,None,None,11/5/2012 11:19:00,"[u'Michele Barbera', u'Andrea Raimondi']","[u'Maurizio Napolitano', u'Sander van der Waal']","""Is it up to date?"": there are several known inconsistencies.
You can look individual entries up via the form online but are prohibited from downloading it. You can pay for the whole dataset which would be sent via email."
es,legislation,2013,45,25,False,Y,Y,Y,Y,Y,N,N,N,Y,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Iniciativas/LeyesAprob?selectLey=tituloListadoTodasLeyes,PDF,None,None,None,None,2013-10-17T08:06:45.190Z,"[u'Graeme Jones', u'Alicia Garc\xeda-Garc\xeda', u'Jos\xe9 F\xe9lix Onta\xf1\xf3n']","[u'Mor Rubinstein', u'Alicia Garc\xeda-Garc\xeda']","SPANISH CONSTITUTION 1978
http://www.congreso.es/portal/page/portal/Congreso/Congreso/Hist_Normas/Norm/const_espa_texto_ingles_0.pdf SENATE
approved from 2012 to 2013:
http://www.senado.es/web/resultadobuscador/index.html?searchId=1
pending
http://www.senado.es/web/actividadparlamentaria/actualidad/leyes/entramitacion/index.html CONGRESS
